"","OTU ID","ASV"
"384","c939ee112ba982665e012437dae05c1e","ASV384"
"385","e2a35867731fb073463f823bb3f063d2","ASV385"
"386","b85414e75796218b1228de4e74717760","ASV386"
"387","e416d0916760d2fc17b616e2ac3ad855","ASV387"
"388","3307f1f7aa9b41e49869e936009eab01","ASV388"
"389","8fd684efe7ec073476ae0b03521f118f","ASV389"
"390","a5e4fa1c4fdfceff6877d2ba21ae0b91","ASV390"
"391","59ebd9f3575d2fe9eceda1241572ee4a","ASV391"
"392","4982f2626b3237c4fe328af8363737c5","ASV392"
"393","1328ddadac3f2d08eb25e79a18f7e574","ASV393"
"394","6491defe4e46c1acff44ed4cec0903cf","ASV394"
"395","340787db8b31a7fbd3cf7bc22ee5094d","ASV395"
"396","6149e13ed5267298242c562cff168845","ASV396"
"397","b5e6d073ba80b055fa84cb7c17917c16","ASV397"
"398","831f2d5943c77145c6c5cb05d9bdad18","ASV398"
"399","95a7e70fb332ba3cda224b5fa86471f2","ASV399"
"400","a33e39d51f734e052ab2e12bc8794cd7","ASV400"
"401","43a0e75048b181b7c28ca14dd308ca95","ASV401"
"402","6cac272047549f817fbeaaa67a553985","ASV402"
"403","8d6ed6c4e133f0c9730f92c02bed365a","ASV403"
"404","eb6556a76f5c1a57c391fcbd13dd1bc6","ASV404"
"405","affc8f144995b3e1598c46068a5485b7","ASV405"
"406","b7808e445301b0487f713b4295b63cfa","ASV406"
"407","dc4a7fab972ac91dd37631d279420a08","ASV407"
"408","65d43491988bfe557da4d86a5ba25dae","ASV408"
"409","8a8895d160b2fda424ad5446e9bf8f4e","ASV409"
"410","4bc3351a4fd8d95376d9111d0b177405","ASV410"
"411","0401166357c3d2075b033df21909196a","ASV411"
"412","19d8016258b510eab48e9d497bfa0049","ASV412"
"413","6370f8a12efd0db116dabb97430cf1d6","ASV413"
"414","25e50b94e1607a74fb692568c994aa0e","ASV414"
"415","ed01a31f8855e1092ca54ef981d28f5c","ASV415"
"416","bc6058ad7eedb77edb19493935076056","ASV416"
"417","7d0d1128850e28ffeb3067dabecee9ba","ASV417"
"418","d9ea61005643a4051b118703705322ae","ASV418"
"419","5c5232d4b8ef1ab062012f4cc8606acd","ASV419"
"420","b7f5af401f678ffbe9f7299cfa59e3bf","ASV420"
"421","d73525c65f3f55003881c29438942ed2","ASV421"
"422","60c24e14ac67927ee85a38e54d24a54e","ASV422"
"423","6a5199f36565fddcec40c197ffa97dfe","ASV423"
"424","fc64c1e52b79879923694ba54cf71370","ASV424"
"425","40ea99e3f3a7d45d673603a718fb697b","ASV425"
"426","509907e2b118c905a079b71dc5f04034","ASV426"
"427","fcc0127af57479288ce56c8284b40121","ASV427"
"428","a17090a0fd36d2122cc5d52e19b2562a","ASV428"
"429","07da22cab5c55a4badb462bcbbded642","ASV429"
"430","9f483e1a861dd7b13a422771c3d45d70","ASV430"
"431","e2700aefa86b128937c05f4f4dd45b71","ASV431"
"432","6472eb8b1e09f892aca2f23182962903","ASV432"
"433","b39be459cc96689db8cd6b00a0d86e8e","ASV433"
"434","37a0ecb1339ca415c7c53b8caf60d966","ASV434"
"435","4b961b84716ac167392b11929d702643","ASV435"
"436","b1c572d477a22c283148135e725fd76b","ASV436"
"437","ddfd49f939f92958b1ec816741055348","ASV437"
"438","7058e156ce7354cdf9b8f00949d9b5c1","ASV438"
"439","dc13db9e2a43ce945c6d2abb5eebd239","ASV439"
"440","534ae1292f8ab63bdd6f97344ef4656d","ASV440"
"441","4cbf65d11ea164bdeca7393329ca48ef","ASV441"
"442","23fb941aede21661446c85059675de1c","ASV442"
"443","a30e9647538d6b057949888a7bb720c7","ASV443"
"444","76032bdb64ec13cbaf7d23274b293aa9","ASV444"
"445","838d86b47ef4ea038484750f60e8e8e8","ASV445"
"446","16ab9298f3d7f93f8ac8598c124cbd18","ASV446"
